,Movie_name,Genre,Description,Rating,Run_Time
0,Parasite,"
Comedy, Drama, Thriller            ","
    A poor family, the Kims, con their way into becoming the servants of a rich family, the Parks. But their easy life gets complicated when their deception is threatened with exposure.",8.6,132 min
1,Life Is Beautiful,"
Comedy, Drama, Romance            ","
    When an open-minded Jewish librarian and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp.",8.6,116 min
2,The Intouchables,"
Biography, Comedy, Drama            ","
    After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.",8.5,112 min
3,Back to the Future,"
Adventure, Comedy, Sci-Fi            ","
    Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the eccentric scientist Doc Brown.",8.5,116 min
4,Modern Times,"
Comedy, Drama, Family            ","
    The Tramp struggles to live in modern industrial society with the help of a young homeless woman.",8.5,87 min
5,City Lights,"
Comedy, Drama, Romance            ","
    With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.",8.5,87 min
6,3 Idiots,"
Comedy, Drama            ","
    Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".",8.4,170 min
7,Dr. Strangelove,"
Comedy            ","
    An insane general triggers a path to nuclear holocaust that a War Room full of politicians and generals frantically tries to stop.",8.4,95 min
8,The Great Dictator,"
Comedy, Drama, War            ","
    Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.",8.4,125 min
9,Toy Story 3,"
Animation, Adventure, Comedy            ","
    The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.",8.3,103 min
10,Amélie,"
Comedy, Romance            ","
    Amélie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love.",8.3,122 min
11,Snatch,"
Comedy, Crime            ","
    Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.",8.3,102 min
12,Toy Story,"
Animation, Adventure, Comedy            ","
    A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.",8.3,81 min
13,The Sting,"
Comedy, Crime, Drama            ","
    Two grifters team up to pull off the ultimate con.",8.3,129 min
14,The Apartment,"
Comedy, Drama, Romance            ","
    A man tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue.",8.3,125 min
